Source_File     ID    Size  Total_Amp 
hits_36.txt     3     1     28.63
hits_36.txt     4     2     46.94
hits_36.txt     5     1     17.94
hits_36.txt     6     5     80.03
hits_36.txt     7     1     24.04
hits_36.txt     8     6     90.68
hits_36.txt     9     1     22.63
hits_37.txt     0     1     18.19
hits_37.txt     1     1     23.79
hits_37.txt     2     1     18.25
hits_37.txt     3     1     18.87
hits_37.txt     4     1     26.89
hits_37.txt     5     1     21.83
hits_37.txt     6     1     23.81
hits_37.txt     7     1     24.69
hits_37.txt     8     1     21.61
hits_37.txt     9     1     34.32
hits_38.txt     0     1     31.87
hits_38.txt     1     1     23.67
hits_38.txt     2     1     36.70
hits_38.txt     3     7     100.56
hits_38.txt     4     1     26.91
hits_38.txt     5     1     35.43
hits_38.txt     6     1     20.92
hits_38.txt     7     2     20.88
hits_38.txt     8     1     25.06
hits_38.txt     9     2     33.92
hits_39.txt     0     2     25.19
hits_39.txt     1     1     21.78
hits_39.txt     2     1     22.74
hits_39.txt     3     1     26.80
hits_39.txt     4     1     23.17
hits_39.txt     5     1     21.01
hits_39.txt     6     1     26.20
hits_39.txt     7     1     21.27
hits_39.txt     8     5     42.61
hits_39.txt     9     1     20.35
hits_40.txt     0     1     25.69
hits_40.txt     1     1     23.37
hits_40.txt     2     1     19.49
hits_40.txt     3     1     20.96
hits_40.txt     4     1     24.02
hits_40.txt     5     1     18.73
hits_40.txt     6     1     21.20
hits_40.txt     7     1     23.58
hits_40.txt     8     6     109.85
hits_40.txt     9     1     33.30
hits_40.txt     10    18    146.74
hits_41.txt     0     1     21.20
hits_41.txt     1     1     21.04
hits_41.txt     2     2     22.76
hits_41.txt     3     1     28.82
hits_41.txt     4     1     22.06
hits_41.txt     5     2     20.94
hits_41.txt     6     1     21.09
hits_41.txt     7     2     23.80
hits_41.txt     8     1     28.10
hits_41.txt     9     1     25.56
hits_42.txt     0     1     24.01
hits_42.txt     1     2     27.79
hits_42.txt     2     2     47.78
hits_42.txt     3     1     24.02
hits_42.txt     4     1     22.92
hits_42.txt     5     2     26.00
hits_42.txt     6     1     20.65
hits_42.txt     7     2     20.94
hits_42.txt     8     2     27.86
hits_42.txt     9     1     19.63
hits_43.txt     0     2     20.38
hits_43.txt     1     1     23.97
hits_43.txt     2     1     25.72
hits_43.txt     3     1     26.56
hits_43.txt     4     2     38.73
hits_43.txt     5     2     35.46
hits_43.txt     6     2     23.96
hits_43.txt     7     2     63.31
hits_43.txt     8     2     23.52
hits_43.txt     9     2     34.33
hits_43.txt     10    1     25.89
hits_44.txt     0     1     23.46
hits_44.txt     1     1     23.35
hits_44.txt     2     2     20.12
hits_44.txt     3     1     33.42
hits_44.txt     4     1     19.80
hits_44.txt     5     2     27.04
hits_44.txt     6     2     23.67
hits_44.txt     7     1     23.24
hits_44.txt     8     1     25.20
hits_44.txt     9     1     34.39
hits_45.txt     0     1     23.48
hits_45.txt     1     1     25.09
hits_45.txt     2     1     26.44
hits_45.txt     3     1     17.26
hits_45.txt     4     1     18.58
hits_45.txt     5     1     23.74
hits_45.txt     6     1     26.93
hits_45.txt     7     2     28.80
hits_45.txt     8     2     39.55
hits_45.txt     9     2     27.46
hits_46.txt     0     1     22.27
hits_46.txt     1     2     26.52
hits_46.txt     2     2     33.81
hits_46.txt     3     2     29.72
hits_46.txt     4     2     28.50
hits_46.txt     5     1     22.26
hits_46.txt     6     2     24.40
hits_46.txt     7     2     23.59
hits_46.txt     8     2     17.81
hits_46.txt     9     2     24.48
hits_47.txt     0     2     18.74
hits_47.txt     1     2     24.53
hits_47.txt     2     3     38.03
hits_47.txt     3     1     21.58
hits_47.txt     4     1     22.89
hits_47.txt     5     1     22.01
hits_47.txt     6     1     19.69
hits_47.txt     7     1     21.26
hits_47.txt     8     2     23.78
hits_47.txt     9     1     33.00
hits_48.txt     0     1     29.09
hits_48.txt     1     2     21.09
hits_48.txt     2     1     23.67
hits_48.txt     3     1     23.33
hits_48.txt     4     1     19.59
hits_48.txt     5     1     34.42
hits_48.txt     6     2     22.08
hits_48.txt     7     1     24.39
hits_48.txt     8     2     24.19
hits_48.txt     9     2     24.12
hits_49.txt     0     1     17.90
hits_49.txt     1     4     50.67
hits_49.txt     2     3     54.59
hits_49.txt     3     2     37.61
hits_49.txt     4     1     22.77
hits_49.txt     5     2     21.08
hits_49.txt     6     1     33.65
hits_49.txt     7     1     21.24
hits_49.txt     8     9     134.63
hits_49.txt     9     1     23.74
hits_49.txt     10    5     39.82
hits_49.txt     11    1     30.62
hits_49.txt     12    3     52.41
hits_49.txt     13    20    281.22
hits_50.txt     0     1     25.37
hits_50.txt     1     2     25.19
hits_50.txt     2     2     23.11
hits_50.txt     3     2     27.90
hits_50.txt     4     1     20.18
hits_50.txt     5     1     19.47
hits_50.txt     6     1     19.34
hits_50.txt     7     2     34.73
hits_50.txt     8     2     24.40
hits_50.txt     9     1     8.91
hits_50.txt     10    1     39.08
hits_51.txt     0     1     23.59
hits_51.txt     1     3     37.33
hits_51.txt     2     2     20.60
hits_51.txt     3     1     24.16
hits_51.txt     4     1     24.10
hits_51.txt     5     1     27.70
hits_51.txt     6     1     23.73
hits_51.txt     7     1     21.05
hits_51.txt     8     1     25.57
hits_51.txt     9     1     31.62
hits_52.txt     0     1     26.61
hits_52.txt     1     2     28.17
hits_52.txt     2     2     25.63
hits_52.txt     3     12    135.23
hits_52.txt     4     1     36.39
hits_52.txt     5     1     21.96
hits_52.txt     6     2     22.43
hits_52.txt     7     1     27.55
hits_52.txt     8     1     27.21
hits_52.txt     9     2     28.94
hits_53.txt     0     1     20.45
hits_53.txt     1     1     21.57
hits_53.txt     2     1     21.99
hits_53.txt     3     10    87.92
hits_53.txt     4     1     24.67
hits_53.txt     5     1     22.72
hits_53.txt     6     1     21.91
hits_53.txt     7     2     23.20
hits_53.txt     8     2     31.80
hits_53.txt     9     1     28.62
hits_54.txt     0     1     35.02
hits_54.txt     1     1     24.09
hits_54.txt     2     1     21.56
hits_54.txt     3     1     25.42
hits_54.txt     4     1     31.30
hits_54.txt     5     2     29.11
hits_54.txt     6     1     22.92
hits_54.txt     7     1     18.32
hits_54.txt     8     1     28.97
hits_54.txt     9     3     48.34
hits_55.txt     0     1     30.20
hits_55.txt     1     1     29.08
hits_55.txt     2     1     25.89
hits_55.txt     3     2     18.96
hits_55.txt     4     1     35.34
hits_55.txt     5     1     26.31
