Source_File     ID    Size  Total_Amp 
hits_79.txt     5     1     19.79
hits_79.txt     6     1     25.36
hits_79.txt     7     2     23.26
hits_79.txt     8     2     22.39
hits_79.txt     9     2     22.15
hits_80.txt     0     2     22.80
hits_80.txt     1     1     18.56
hits_80.txt     2     1     25.52
hits_80.txt     3     1     35.14
hits_80.txt     4     2     24.54
hits_80.txt     5     1     24.23
hits_80.txt     6     1     23.10
hits_80.txt     7     2     24.09
hits_80.txt     8     1     28.92
hits_80.txt     9     1     39.62
hits_81.txt     0     2     26.40
hits_81.txt     1     1     24.40
hits_81.txt     2     1     24.19
hits_81.txt     3     9     87.83
hits_81.txt     4     1     20.63
hits_81.txt     5     1     23.50
hits_81.txt     6     2     24.01
hits_81.txt     7     2     19.33
hits_81.txt     8     3     29.23
hits_81.txt     9     1     31.51
hits_82.txt     0     2     42.36
hits_82.txt     1     1     25.03
hits_82.txt     2     2     28.92
hits_82.txt     3     1     21.89
hits_82.txt     4     1     36.61
hits_82.txt     5     1     24.13
hits_82.txt     6     2     27.31
hits_82.txt     7     2     23.64
hits_82.txt     8     2     35.79
hits_82.txt     9     1     19.11
hits_83.txt     0     2     25.42
hits_83.txt     1     1     27.02
hits_83.txt     2     2     30.57
hits_83.txt     3     1     25.80
hits_83.txt     4     1     25.17
hits_83.txt     5     1     29.55
hits_83.txt     6     1     21.89
hits_83.txt     7     1     26.16
hits_83.txt     8     2     30.65
hits_83.txt     9     4     26.92
hits_84.txt     0     1     21.77
hits_84.txt     1     8     77.62
hits_84.txt     2     1     23.36
hits_84.txt     3     2     28.07
hits_84.txt     4     1     38.88
hits_84.txt     5     1     23.39
hits_84.txt     6     2     27.02
hits_84.txt     7     2     61.01
hits_84.txt     8     4     24.86
hits_84.txt     9     3     51.91
hits_84.txt     10    1     25.91
hits_85.txt     0     3     32.98
hits_85.txt     1     2     21.67
hits_85.txt     2     2     24.67
hits_85.txt     3     2     26.94
hits_85.txt     4     1     29.01
hits_85.txt     5     1     28.84
hits_85.txt     6     2     26.16
hits_85.txt     7     1     23.72
hits_85.txt     8     1     25.99
hits_85.txt     9     1     47.42
hits_86.txt     0     1     22.65
hits_86.txt     1     1     25.08
hits_86.txt     2     2     22.66
hits_86.txt     3     2     24.74
hits_86.txt     4     2     24.44
hits_86.txt     5     2     22.81
hits_86.txt     6     1     27.05
hits_86.txt     7     2     22.49
hits_86.txt     8     2     28.85
hits_86.txt     9     1     21.81
hits_87.txt     0     1     43.71
hits_87.txt     1     2     19.39
